Section ID,Catagory,Area(mm2),Weight,Ix(mm4),Sx(mm3),Zx(mm3),rx(mm),Iy(mm4),Sy(mm3),Zy(mm3),ry(mm),Cw(mm6),J(mm4),rts(mm),Slenderness of Flange,Slenderness of Web
W36X529,W,99852.58000000002,7.710616227600001,16363441525.533937,32402854.506007798,37831845.119,404.81600914043844,1032784190.9819834,4726701.102892373,7416878.745500001,101.70098176834247,225175947099306.0,138925977.1809667,121.99478318739479,nonslender,nonslender
W36X487,W,91945.38,7.100022243600001,14833513429.652601,29726479.818943087,34557776.72099999,401.65858925460327,931794737.4561499,4293984.965235714,6726271.1745,100.66886465307022,200575347899398.47,108520734.56129996,120.59455800609405,nonslender,nonslender
W36X441,W,83376.0,6.43829472,13354774272.0,27033956.016194332,31240512.0,400.21904192562084,836046117.0,3870583.875,6042438.0,100.13700297734586,178588570742784.0,81313436.25,119.55456744779175,nonslender,nonslender
W36X395,W,74497.8,5.752720116000001,11755719898.806,24114297.22832,27712908.990000002,397.2399247599171,727487232.55,3407434.3444964867,5303479.35,98.81911588765074,153182701171921.34,58851654.25533333,117.65800222315343,nonslender,nonslender
W36X361,W,67836.32,5.2383206304000005,10577544704.289066,21922372.44412242,25086332.224,394.8765054540205,650830084.3242667,3069953.227944654,4767251.791999999,97.9496006797045,135551579605977.33,44695037.30453333,116.39900683846567,nonslender,nonslender
W36X330,W,62045.6,4.791161231999999,9629694515.466667,20103746.378844816,22902335.6,393.9587590110228,589937269.1546667,2795911.228221169,4329868.96,97.50961066714453,122140789548065.67,34484768.95633333,115.55217933734265,nonslender,nonslender
W36X302,W,56888.00000000001,4.39289136,8687404049.46667,18347210.24174587,20826298.000000004,390.7821137297614,543460650.6666667,2563493.6352201262,3962288.0,97.74031163372715,110901971019982.31,26173881.594666675,115.67561669286982,nonslender,nonslender
W36X282,W,53075.1,4.098459222,8057418210.477,17107045.032859873,19370941.605,389.63013801864304,500575545.60625,2372395.9507405213,3661897.9875,97.11569089494746,101673640132328.94,21295791.5895,114.8370430189823,nonslender,slender
W36X262,W,49289.34,3.8061228348,7408347234.345799,15812907.650684737,17880109.173,387.68961118559076,459119450.72405,2175921.567412559,3356911.5555000002,96.51311761717557,92913360768857.3,16693548.987600004,114.28654349953936,nonslender,slender
W36X247,W,46270.42,3.5730018323999997,6882452172.477932,14769210.670553502,16684682.357,385.67357204011137,421120229.7559833,2010120.4284295146,3099820.7764999997,95.40064950067665,84720282956287.8,13775322.161299998,113.08883570100528,nonslender,slender
W36X231,W,43471.9,3.3569001180000004,6406093064.258333,13821128.509726716,15593670.425,383.8771932461965,392837327.68258333,1875118.5092247415,2889340.7175,95.06093092558848,78564595013966.67,11297930.005,112.74262789969714,nonslender,slender
W36X256,W,48280.08,3.7281877776,6911125402.6616,14534438.28109695,16889920.764,378.3470883753509,219015776.66239998,1413005.010725161,2237873.688,67.35249828738773,44838254111467.04,21877349.182133332,82.57182766344883,nonslender,nonslender
W36X232,W,43575.32,3.3648862104,6182979049.943067,13113423.223633228,15179099.006000001,376.6852328522566,193190484.35126668,1258569.9306271444,1985666.428,66.58441264830427,39232724173720.65,16249984.018366667,81.479904278471,nonslender,slender
W36X210,W,39599.3,3.057857946,5439709805.141666,11673197.006741773,13527418.975,370.6330226218043,171973830.20441666,1109508.5819639785,1753779.0575,65.90030544364403,34495452747265.625,11296833.524166668,81.22900730606405,nonslender,slender
W36X194,W,36390.2,2.810051244,4975400725.316667,10734413.64685365,12404609.65,369.76160336730425,154842120.53266668,1008743.4562388709,1589183.67,65.2307442899656,30902949605433.332,8884763.56,80.2755144884223,nonslender,slender
W36X182,W,34280.8,2.647163376,4647520242.933333,10081388.813304411,11633322.4,368.20117565543836,145119701.03733334,945405.2184842563,1486694.68,65.063543669744,28777618318940.0,7378239.189333334,80.06360175567806,nonslender,slender
W36X170,W,31952.36,2.4673612392,4306882335.983868,9372975.703991007,10805434.538,367.13858788980065,132305156.69286667,867574.7979860109,1362285.5320000001,64.34827592633859,26190595124509.27,5953874.469566666,79.24863471077728,nonslender,slender
W36X160,W,30025.300000000003,2.318553666,3997442410.904333,8747138.754714077,10082024.915000001,364.87779118955234,122797923.76458333,805232.2869808744,1263357.2375,63.95166180896987,24149702248795.41,4862527.800833332,78.9028505228413,nonslender,slender
W36X150,W,28319.78,2.1868534115999996,3730569283.103267,8181072.989261551,9442500.469,362.9465038818627,113307106.79931667,742997.4216348635,1166268.3505,63.25336546078928,22284860376301.555,3965849.1699666665,78.37212694556388,nonslender,slender
W36X135,W,25390.76,1.9606744872,3211626912.4278665,7105369.275282891,8254120.6219999995,355.65154038438885,95301085.39586666,624925.1501368305,984794.3380000001,61.264807496945046,18564813963211.99,2685884.567066667,76.94028404108765,nonslender,slender
W33X387,W,73136.2,5.647577364,10089894007.527334,22078542.686055437,25469512.01,371.4301094142412,672145642.2833333,3270781.714274128,5094602.15,95.86619668323642,122755732388642.3,62535538.619333334,114.06202833506742,nonslender,nonslender
W33X354,W,66970.9,5.1714928979999994,9120731562.076334,20178609.65061136,23173836.805,369.038578975355,607205456.7145833,2969219.837235126,4614881.9125,95.21925193032085,109599923422168.38,48105546.641833335,113.06829922497639,nonslender,nonslender
W33X318,W,60043.2,4.6365359040000005,8099393198.4,18119447.87114094,20689754.4,367.27750251006114,536610910.976,2643403.5023448276,4095107.52,94.5361332242024,95796319211712.0,35122295.808,111.86123257634233,nonslender,nonslender
W33X291,W,54898.479999999996,4.2392606256,7290608085.650932,16494588.429074507,18766677.643999998,364.41959103044616,483419467.0517333,2393165.678473927,3701097.6079999995,93.83868378242309,85125434816206.23,26854800.86346666,110.89836105704454,nonslender,nonslender
W33X263,W,49595.82,3.8297892204,6526276317.383401,14900174.240601372,16880004.171,362.75231375874876,429516159.32735,2142225.233552868,3305197.9604999996,93.06089312246412,74939573778876.55,19989582.9267,109.7304115523045,nonslender,nonslender
W33X241,W,45598.380000000005,3.5211069036000002,5890585762.226601,13557159.40673556,15343749.691,359.4218993950215,391864172.91265,1939921.6480824256,2994041.9345000004,92.70284715455837,67934415609703.29,14761419.67446667,109.70388289414778,nonslender,slender
W33X221,W,41746.2,3.223641564,5303116355.349999,12318504.89047619,13917985.05,356.4159273220973,349780315.159,1744540.2252319201,2690246.16,91.53542612511563,59936345978589.5,11288449.260166667,108.41575703628635,nonslender,slender
W33X201,W,37817.92,2.9202997824,4753454322.414934,11106201.68788536,12527435.648,354.532328537362,309537200.61973333,1551564.9153871345,2390383.856,90.47062819464766,52831292137559.195,8284098.748799999,107.30457600343502,nonslender,slender
W33X169,W,31653.0,2.4442446600000003,3821606907.75,8897804.208963912,10194694.25,347.4686026690374,128961259.75,883296.2996575342,1379175.25,63.829610538026934,22047516690048.0,7155302.666666667,77.41289591808166,nonslender,slender
W33X152,W,28705.920000000002,2.2166711424,3375363732.0844,7932699.722877556,9097645.106,342.9055818988399,115375059.5511,782203.7935667797,1222146.803,63.39722288087632,19541905756338.703,4974538.394033333,77.36761436517958,nonslender,slender
W33X141,W,26526.48,2.0483747855999996,3055613173.1936,7223671.8042401895,8300517.864,339.39807507156775,101490789.9384,695142.3968383562,1087486.788,61.85481387339538,17086298927768.234,3828113.9861333333,75.92584868647796,nonslender,slender
W33X130,W,24397.519999999997,1.8839764943999997,2748731547.516267,6536816.997660563,7529321.687999999,335.65515549341455,90255601.16206667,618189.0490552512,968202.746,60.822496247536264,15110643383681.492,2856673.3619666663,75.16334797158487,nonslender,slender
W33X118,W,22156.800000000003,1.710948096,2427100788.2239995,5806461.215846889,6717150.08,330.9713389376055,78193443.2,535571.5287671234,840603.2,59.40618316722576,13024224626747.906,2040961.7493333335,74.13525556854938,nonslender,slender
W30X391,W,73909.5,5.70729159,8572233891.125,20337446.954033215,23633900.625,340.5625381781041,644151467.53125,3253290.2400568184,5075243.4375,93.356350989077,97851631992048.0,73608822.375,111.10684151412184,nonslender,nonslender
W30X357,W,67492.0,5.21173224,7740322053.633334,18584206.611364547,21472408.5,338.6517830035336,581902233.7083333,2953818.4452199657,4594870.75,92.85362499744659,87342387070835.58,56474350.55983334,110.1404274867368,nonslender,nonslender
W30X326,W,61587.4,4.755779028,6959867369.811333,16913407.946078572,19449963.43,336.16658841589606,520519924.28333336,2662506.0065643652,4133677.7500000005,91.93327761634153,77117482772334.8,43130838.40066666,108.8383599073528,nonslender,nonslender
W30X292,W,55188.1,4.261625081999999,6172802785.008333,15185246.703587536,17352100.475,334.4402040037315,462141298.0750834,2376047.805013282,3676621.5975,91.50918103981017,67638342957971.164,31360920.638,107.90237623217915,nonslender,nonslender
W30X261,W,49319.92,3.8084842223999997,5420751300.815734,13501248.569902202,15361341.716000002,331.52673733379726,402416430.1429333,2085059.2235385145,3221607.6079999995,90.32888934306234,58163179482839.49,22264152.929866668,106.44959029793975,nonslender,nonslender
W30X235,W,44427.48,3.4306900056000003,4847418596.5776005,12194763.764975095,13799202.156000001,330.3158566619508,360119406.8669,1875621.9107651042,2889041.0370000005,90.03210888884082,51497295011905.53,16528512.087300003,105.67470401978338,nonslender,nonslender
W30X211,W,39872.6,3.0789621719999998,4242549306.866667,10809042.820042463,12206251.7,326.19415235775585,316603112.1511667,1648974.542453993,2539550.155,89.10874185770167,44635993767936.0,11539581.9365,104.87125815153126,nonslender,nonslender
W30X191,W,35965.2,2.777232744,3795081467.5360003,9730978.121887181,10957557.479999999,324.839857810829,278724975.3,1463123.22992126,2250218.7,88.03324342854957,39125644129087.49,8453687.632,103.59316417157086,nonslender,slender
W30X173,W,32638.559999999998,2.5203496031999997,3386831809.8688006,8774175.673235236,9855552.863999998,322.13010952179746,250995622.1008,1317562.3207391077,2023625.0639999998,87.69353525301732,34770579214315.387,6247051.812266666,103.18494932913467,nonslender,slender
W30X148,W,27900.0,2.154438,2767230000.0,7095461.538461538,8145900.0,314.93470905529284,95440342.5,714908.9325842697,1118340.0,58.487612418798676,13383395859375.0,5929031.25,70.97154394148177,nonslender,slender
W30X132,W,24783.12,1.9137525264,2364349851.4463997,6141168.445315324,7066997.976,308.87153026923613,80805488.56560001,605284.5585438203,949126.428,57.10083253562583,11168692211924.342,3859167.8431999995,69.94155616610638,nonslender,slender
W30X124,W,23327.420000000002,1.8013433724000003,2204807218.7980666,5749171.365835898,6614279.429,307.4340432109256,75066129.60751666,562293.1056742821,881160.8995,56.72684864402955,10343789141907.941,3159387.3302,69.61908224015474,nonslender,slender
W30X116,W,21885.120000000003,1.6899689664000002,2026877212.4543998,5319887.696730708,6130059.264,304.3261374435438,68701847.24159999,514620.578588764,807183.792,56.028596168653756,9390941035885.871,2530770.7392,69.09842523389123,nonslender,slender
W30X108,W,20220.120000000003,1.5613976664000002,1828861733.1155996,4831867.194492998,5581981.902000001,300.74510827015354,61383891.56040001,459804.431164045,722141.874,55.097937829287595,8329892913847.344,1925895.0508000003,68.40942885484743,nonslender,slender
W30X99,W,18582.0,1.43490204,1643513474.0,4359452.185676392,5055963.0,297.3996181592757,54068126.58,405004.6934831461,637319.7,53.941675620469425,7323293491804.125,1439539.472,67.5609862877742,nonslender,slender
W30X90,W,16728.2,1.291751604,1468019054.0666666,3919944.0696039163,4535165.9,296.2383227552375,47633500.68016667,360859.8536376263,565562.995,53.361944132356996,6393408784488.0,1067423.3755,66.72234601689668,nonslender,slender
W27X539,W,102252.20000000001,7.895914884000001,10645851850.30067,25776880.993464094,30961907.210000005,322.66650030310825,888708220.5166668,4569193.935818338,7205753.95,93.227334710316,119473308212706.55,219095353.27400005,112.43262191209325,nonslender,nonslender
W27X368,W,69672.6,5.380118172,6710334445.8,17384286.129015546,20322738.9,310.3423713405866,547226672.9955,2934191.2761152815,4581533.115,88.62425961978218,68477559435277.125,72398246.553,105.5238072769364,nonslender,nonslender
W27X336,W,63640.2,4.914296244,6056217635.634001,15895584.345496066,18465297.21,308.4856516612558,494539982.95000005,2665983.735579515,4150134.15,88.15256159929527,61074193328628.66,55699172.246,104.56263964802034,nonslender,nonslender
W27X307,W,57920.3,4.472605566,5417774348.467668,14408974.33103103,16658642.035,305.84054223476636,435278481.24791664,2378570.9357809653,3697033.6625,86.68983921760814,52985448706160.07,42512802.63316668,102.66311079450129,nonslender,nonslender
W27X281,W,53245.399999999994,4.111609788,4942784018.866667,13287053.814157706,15270580.1,304.6805773846122,401442355.7011667,2193674.074869763,3398785.015,86.83014959449841,48350136408525.0,33215772.918333333,102.39785919588175,nonslender,nonslender
W27X258,W,48780.3,3.7668147660000004,4478627830.225,12153671.181071915,13909661.025,303.00532007982116,359573481.42525,1981121.1097809917,3065089.1175,85.85618643210229,42947049826890.0,25613339.436,101.1175425911544,nonslender,nonslender
W27X235,W,44480.12,3.4347548664,4021421477.615067,11032706.385775218,12578689.466,300.68157843745325,321360892.1712667,1780392.7544114497,2751402.548,84.9989453479828,37960925113404.586,19293178.128366664,100.05560511304614,nonslender,nonslender
W27X217,W,40884.880000000005,3.1571304336,3655162328.802933,10139146.543142673,11507790.556,299.00053874701683,291859988.4257333,1630502.7286353817,2513292.052,84.49011801940837,33968552393175.77,15338151.878633335,99.09738628782101,nonslender,nonslender
W27X194,W,36546.6,2.822128452,3229868103.8,9047249.59047619,10223403.9,297.282198358686,256043861.0555,1438448.6576151685,2213428.815,83.70158727800215,29555308347733.332,10907533.426666668,98.05713042951805,nonslender,nonslender
W27X178,W,33502.24,2.5870429727999995,2883100806.4405336,8167424.38085137,9223756.336,293.3546597274839,231278131.04853332,1292056.598036499,1989919.984,83.08648030456773,26368240797360.395,7977040.710399999,97.78255258475922,nonslender,nonslender
W27X161,W,30364.96,2.3447822111999996,2591957681.2485332,7395029.047784688,8324376.488,292.16460196328745,206294276.6165333,1158956.6102052433,1781879.072,82.42467300847083,23371870539056.465,5946796.667733333,96.9003221013753,nonslender,slender
W27X146,W,27612.160000000003,2.1322109952000003,2336245821.986133,6713350.063178543,7534547.456000001,290.87679626875996,186684534.75413334,1048789.5210906367,1609851.4560000002,82.22501857473522,21003628526140.08,4437176.6336,96.57862560425554,nonslender,slender
W27X129,W,24173.8,1.866700836,1953183016.8493335,5572562.1022805525,6383087.24,284.24904048444733,76400067.94583333,601575.3381561679,938750.5249999999,56.217872998401425,8630844508776.46,4513033.624833333,67.88273016107532,nonslender,slender
W27X114,W,21494.5,1.65980529,1684907487.5283334,4862647.871654642,5571878.825,279.9782899111546,66930799.302083336,520862.25137808046,813323.0625000001,55.80194441706303,7479482446851.789,2932299.053000001,67.83252429492627,nonslender,slender
W27X102,W,19178.78,1.4809853916,1486234225.6332667,4320448.330329264,4940047.631,278.3768654991797,57748826.49731667,454715.16927021,708350.2345,54.873301795572196,6407576475773.031,2090456.2786333337,66.72596028078425,nonslender,slender
W27X94,W,17601.68,1.3592017295999999,1336425934.3522668,3913399.5149407517,4478555.884,275.54680952339055,51721764.41706666,407257.987535958,634477.688,54.20752831122493,5691394276559.649,1565277.8834666666,66.21340284184656,nonslender,slender
W27X84,W,15831.579999999998,1.2225146075999997,1168684954.992733,3447448.2448163214,3957953.233,271.6980970593909,44604330.61918334,351215.2017258531,547892.6015,53.07944622064361,4873037818361.861,1086602.2660333335,65.39511751233007,nonslender,slender
W24X370,W,70203.68,5.421128169599999,5577731579.3242655,15689821.601474727,18601804.376,281.8700070339421,488105872.43306667,2805206.163408429,4397505.472,83.38291571601424,49996463876441.195,88851682.57413332,99.78248779009803,nonslender,nonslender
W24X335,W,63330.3,4.8903657659999995,4934958997.725,14120054.356866954,16624410.975,279.1489519652375,425777753.06025,2482669.1140539357,3882428.9325,81.99468659458113,42847540619814.0,66345046.812,97.80454385462419,nonslender,nonslender
W24X306,W,57682.4,4.454234928,4418514612.434668,12844519.222193802,15023451.32,276.76838966220583,380846087.46666664,2240271.102745098,3493103.2,81.25556009441999,37646363591609.0,50879401.10666666,96.55154021978731,nonslender,nonslender
W24X279,W,52763.7,4.074412914,3972335146.1189995,11717802.790911503,13626875.114999998,274.38181224278395,342961365.86875,2029357.1944896448,3157580.4375,80.62226199510407,33362180640995.19,39084753.28450001,95.54364708192453,nonslender,nonslender
W24X250,W,47260.8,3.649478976,3508479065.6,10504428.34011976,12129014.4,272.4638633691338,301640054.464,1800836.1460537312,2793065.28,79.89028507353028,28903324300000.0,28501493.76,94.28074165438342,nonslender,nonslender
W24X229,W,43199.08,3.3358329576,3160108957.748934,9576087.750754345,11003799.394000001,270.46668591489896,270868189.53373337,1626835.9731755757,2519179.798,79.18478712880633,25638251097162.703,21765520.425466664,93.28622993058944,nonslender,nonslender
W24X207,W,39001.72,3.0117128184000004,2825016396.0477343,8652423.877634715,9887971.976,269.13402490378587,239496636.76043335,1451494.7682450507,2242544.153,78.36241819190994,22457742910997.63,16180569.173033332,92.0656211579374,nonslender,nonslender
W24X192,W,36306.28,2.8035709416,2611660505.836933,8060680.573570781,9174867.866,268.20537952627893,222628454.50173333,1349263.3606165657,2080969.442,78.3067968347635,20732168877391.125,13014383.551466668,91.80587973471214,nonslender,nonslender
W24X176,W,33229.2,2.5659588239999995,2347735774.4,7336674.295,8320415.6,265.80593024976844,200294929.85099998,1221310.547871951,1881095.83,77.63812441536172,18358384215552.0,10001984.608666668,90.91310338824607,nonslender,nonslender
W24X162,W,30716.699999999997,2.3719435739999994,2148303349.525,6766309.762283465,7648192.275,264.4603234244196,185948362.43725,1126959.7723469697,1733848.7325,77.8052497260141,16934257098000.0,7708734.918666667,91.06755753472666,nonslender,nonslender
W24X146,W,27602.6,2.131472772,1889546895.4746673,6027262.824480598,6792747.140000001,261.6398198712775,163124839.95416665,994663.6582571138,1528942.9249999998,76.8749866428364,14627786530916.969,5544903.520166666,90.02530745806418,nonslender,nonslender
W24X131,W,24833.68,1.9176567696,1671558203.8069334,5374785.221244159,6047661.544000001,259.44195685806966,143677167.94373333,876080.2923398374,1346509.8279999997,76.06298051249702,12812128723648.51,3904054.423466666,89.34529886399848,nonslender,nonslender
W24X117,W,22073.2,1.7044925039999999,1465253488.6173334,4749606.1219362505,5332070.54,257.64619488906465,123712458.93333334,761307.4395897436,1168866.2,74.86417971286241,10952424119812.502,2728093.3333333335,88.03434254091391,nonslender,slender
W24X104,W,19702.260000000002,1.5214085172,1291381970.7462,4220202.518778431,4725784.197000001,256.0173137537714,109375811.43044999,673081.9164950768,1031855.8005000001,74.50795112676812,9603623135225.912,1914534.143566667,87.63396324556805,nonslender,slender
W24X103,W,19415.0,1.4992263000000001,1235639448.0566666,3973117.1963236867,4550668.85,252.27672529793455,49968147.416666664,436403.03420669574,680928.25,50.73152606757281,4442103719647.8955,2903053.4806666668,61.2357156669599,nonslender,slender
W24X94,W,17713.06,1.3678024932000001,1108585906.8771336,3593471.335096057,4110825.539,250.17152719303812,45125171.40888333,392392.7948598551,611755.9715,50.47340867850078,3981687397003.9985,2123348.868933333,61.075131938571005,nonslender,slender
W24X84,W,15793.12,1.2195447264000001,974231356.7317333,3183762.603698475,3635025.1840000004,248.3688258581036,39309802.32293334,343317.050855313,534200.3520000001,49.89033984744789,3441766287945.1226,1482271.8932,60.443585745337636,nonslender,slender
W24X76,W,14299.68,1.1042212896,861060925.8063998,2837103.544666886,3243409.608,245.388260177897,34241296.6656,300362.2514526316,467612.064,48.93413792695331,2970993201239.7363,1063174.9978666666,59.624585361553436,nonslender,slender
W24X68,W,12802.5,0.9886090499999999,749537461.7550002,2490157.6802491704,2853954.825,241.96317777493653,29488540.21875,258671.40542763157,403052.0625,47.99314881355902,2536318143664.6323,729355.4605,58.93195201800306,nonslender,slender
W24X62,W,11604.8,0.896122656,632678470.2666667,2101921.828128461,2467671.4,233.49237242292642,14400077.215666667,160894.7174934823,257297.33000000002,35.22602024617699,1235137514931.875,656144.0076666666,44.79316534160247,nonslender,slender
W24X55,W,10290.8,0.7946555759999999,548631668.5106666,1831825.270486366,2157566.98,230.89571187356287,12079254.26666667,135721.9580524345,217112.6,34.260641673397224,1033594912667.1362,444262.0373333334,43.919319116645724,nonslender,slender
